state,city_slug,city_name,facilities,band,live
illinois,chicago,Chicago,194,20+,t
maryland,baltimore,Baltimore,152,20+,f
new-york,new-york,New York,113,20+,f
minnesota,minneapolis,Minneapolis,100,20+,t
new-york,brooklyn,Brooklyn,93,20+,f
utah,salt-lake-city,Salt Lake City,93,20+,f
arizona,glendale,Glendale,87,20+,t
pennsylvania,philadelphia,Philadelphia,87,20+,f
nevada,las-vegas,Las Vegas,84,20+,f
california,simi-valley,Simi Valley,83,20+,t
california,los-angeles,Los Angeles,81,20+,f
new-york,bronx,Bronx,77,20+,f
ohio,columbus,Columbus,77,20+,f
colorado,denver,Denver,76,20+,f
texas,houston,Houston,73,20+,f
indiana,indianapolis,Indianapolis,72,20+,f
arizona,tucson,Tucson,70,20+,t
florida,miami,Miami,70,20+,f
minnesota,saint-paul,Saint Paul,69,20+,f
california,riverside,Riverside,59,20+,t
ohio,cleveland,Cleveland,58,20+,f
new-york,buffalo,Buffalo,55,20+,f
ohio,cincinnati,Cincinnati,55,20+,f
california,escondido,Escondido,51,20+,t
michigan,detroit,Detroit,49,20+,f
arizona,gilbert,Gilbert,48,20+,t
kentucky,louisville,Louisville,48,20+,f
oregon,portland,Portland,48,20+,t
wisconsin,milwaukee,Milwaukee,48,20+,f
florida,fort-lauderdale,Fort Lauderdale,45,20+,t
georgia,atlanta,Atlanta,45,20+,t
idaho,boise,Boise,45,20+,f
missouri,saint-louis,Saint Louis,45,20+,f
new-mexico,albuquerque,Albuquerque,44,20+,f
pennsylvania,pittsburgh,Pittsburgh,44,20+,f
north-carolina,charlotte,Charlotte,43,20+,t
texas,denton,Denton,41,20+,t
california,roseville,Roseville,40,20+,t
nebraska,omaha,Omaha,40,20+,f
ohio,dayton,Dayton,40,20+,f
washington,seattle,Seattle,39,20+,f
florida,clearwater,Clearwater,38,20+,t
california,san-francisco,San Francisco,37,20+,f
new-york,rochester,Rochester,37,20+,f
arizona,phoenix,Phoenix,34,20+,f
district-of-columbia,washington,Washington,34,20+,f
kentucky,lexington,Lexington,34,20+,f
texas,san-antonio,San Antonio,34,20+,f
arizona,chandler,Chandler,33,20+,t
missouri,kansas-city,Kansas City,33,20+,f
california,malibu,Malibu,32,20+,f
tennessee,nashville,Nashville,32,20+,t
wisconsin,madison,Madison,32,20+,f
florida,orlando,Orlando,31,20+,f
florida,west-palm-beach,West Palm Beach,31,20+,f
michigan,grand-rapids,Grand Rapids,30,20+,f
washington,spokane,Spokane,30,20+,f
florida,jacksonville,Jacksonville,29,20+,f
ohio,akron,Akron,29,20+,f
california,fresno,Fresno,28,20+,f
minnesota,duluth,Duluth,28,20+,f
tennessee,knoxville,Knoxville,28,20+,f
alaska,anchorage,Anchorage,27,20+,f
texas,frisco,Frisco,27,20+,t
california,santa-rosa,Santa Rosa,26,20+,t
colorado,colorado-springs,Colorado Springs,26,20+,f
louisiana,baton-rouge,Baton Rouge,26,20+,f
massachusetts,worcester,Worcester,26,20+,f
north-carolina,raleigh,Raleigh,26,20+,f
ohio,youngstown,Youngstown,26,20+,f
oklahoma,oklahoma-city,Oklahoma City,26,20+,f
texas,round-rock,Round Rock,26,20+,t
idaho,idaho-falls,Idaho Falls,25,20+,f
kansas,wichita,Wichita,25,20+,t
nebraska,lincoln,Lincoln,25,20+,f
tennessee,memphis,Memphis,25,20+,f
arkansas,little-rock,Little Rock,24,20+,f
california,salinas,Salinas,24,20+,t
ohio,toledo,Toledo,24,20+,f
utah,orem,Orem,24,20+,f
california,pasadena,Pasadena,23,20+,f
alabama,birmingham,Birmingham,22,20+,t
florida,lakeland,Lakeland,22,20+,t
hawaii,honolulu,Honolulu,22,20+,f
idaho,nampa,Nampa,22,20+,t
indiana,evansville,Evansville,22,20+,f
maryland,frederick,Frederick,22,20+,f
new-york,albany,Albany,22,20+,f
oklahoma,tulsa,Tulsa,22,20+,f
california,thousand-oaks,Thousand Oaks,21,20+,t
minnesota,rochester,Rochester,21,20+,f
new-york,staten-island,Staten Island,21,20+,f
new-york,syracuse,Syracuse,21,20+,f
north-dakota,fargo,Fargo,21,20+,f
oregon,eugene,Eugene,21,20+,f
pennsylvania,lancaster,Lancaster,21,20+,f
texas,el-paso,El Paso,21,20+,f
virginia,richmond,Richmond,21,20+,f
california,long-beach,Long Beach,20,20+,f
california,sacramento,Sacramento,20,20+,f
california,san-diego,San Diego,20,20+,f
connecticut,new-haven,New Haven,20,20+,f
florida,pensacola,Pensacola,20,20+,t
iowa,des-moines,Des Moines,20,20+,f
new-jersey,newark,Newark,20,20+,f
north-carolina,asheville,Asheville,20,20+,t
north-carolina,greensboro,Greensboro,20,20+,f
pennsylvania,erie,Erie,20,20+,f
utah,ogden,Ogden,20,20+,f
arizona,prescott,Prescott,19,10-19,t
arizona,yuma,Yuma,19,10-19,t
colorado,englewood,Englewood,19,10-19,f
florida,fort-myers,Fort Myers,19,10-19,t
florida,port-st-lucie,Port St. Lucie,19,10-19,t
idaho,pocatello,Pocatello,19,10-19,f
indiana,fort-wayne,Fort Wayne,19,10-19,f
louisiana,new-orleans,New Orleans,19,10-19,f
maine,bangor,Bangor,19,10-19,f
north-carolina,durham,Durham,19,10-19,f
north-carolina,winston-salem,Winston Salem,19,10-19,f
pennsylvania,york,York,19,10-19,f
tennessee,chattanooga,Chattanooga,19,10-19,f
virginia,winchester,Winchester,19,10-19,f
california,bakersfield,Bakersfield,18,10-19,f
florida,sarasota,Sarasota,18,10-19,t
kentucky,elizabethtown,Elizabethtown,18,10-19,f
maryland,hagerstown,Hagerstown,18,10-19,f
massachusetts,boston,Boston,18,10-19,f
nevada,reno,Reno,18,10-19,t
new-jersey,cherry-hill,Cherry Hill,18,10-19,f
north-carolina,fayetteville,Fayetteville,18,10-19,f
ohio,canton,Canton,18,10-19,f
washington,tacoma,Tacoma,18,10-19,f
california,anaheim,Anaheim,17,10-19,f
california,costa-mesa,Costa Mesa,17,10-19,f
california,newport-beach,Newport Beach,17,10-19,f
california,san-jose,San Jose,17,10-19,f
connecticut,bridgeport,Bridgeport,17,10-19,f
florida,daytona-beach,Daytona Beach,17,10-19,f
florida,delray-beach,Delray Beach,17,10-19,f
iowa,cedar-rapids,Cedar Rapids,17,10-19,f
kentucky,bowling-green,Bowling Green,17,10-19,f
louisiana,shreveport,Shreveport,17,10-19,f
maine,portland,Portland,17,10-19,f
maryland,glen-burnie,Glen Burnie,17,10-19,f
north-carolina,wilmington,Wilmington,17,10-19,f
oregon,salem,Salem,17,10-19,f
pennsylvania,reading,Reading,17,10-19,f
south-dakota,sioux-falls,Sioux Falls,17,10-19,f
utah,provo,Provo,17,10-19,f
utah,saint-george,Saint George,17,10-19,f
connecticut,waterbury,Waterbury,16,10-19,f
florida,tampa,Tampa,16,10-19,f
illinois,joliet,Joliet,16,10-19,f
illinois,rockford,Rockford,16,10-19,f
maryland,rockville,Rockville,16,10-19,t
massachusetts,springfield,Springfield,16,10-19,f
michigan,flint,Flint,16,10-19,f
missouri,springfield,Springfield,16,10-19,f
new-hampshire,manchester,Manchester,16,10-19,f
rhode-island,providence,Providence,16,10-19,f
texas,college-station,College Station,16,10-19,t
washington,yakima,Yakima,16,10-19,f
arizona,flagstaff,Flagstaff,15,10-19,t
arizona,peoria,Peoria,15,10-19,t
california,oceanside,Oceanside,15,10-19,t
connecticut,hartford,Hartford,15,10-19,f
delaware,wilmington,Wilmington,15,10-19,f
florida,gainesville,Gainesville,15,10-19,t
florida,hollywood,Hollywood,15,10-19,t
idaho,meridian,Meridian,15,10-19,f
iowa,sioux-city,Sioux City,15,10-19,f
kentucky,ashland,Ashland,15,10-19,f
maryland,westminster,Westminster,15,10-19,f
michigan,lansing,Lansing,15,10-19,f
new-york,jamaica,Jamaica,15,10-19,f
north-dakota,bismarck,Bismarck,15,10-19,f
pennsylvania,harrisburg,Harrisburg,15,10-19,f
tennessee,johnson-city,Johnson City,15,10-19,f
texas,fort-worth,Fort Worth,15,10-19,f
alaska,wasilla,Wasilla,14,10-19,t
california,redding,Redding,14,10-19,f
california,santa-ana,Santa Ana,14,10-19,f
california,temecula,Temecula,14,10-19,t
colorado,aurora,Aurora,14,10-19,t
colorado,pueblo,Pueblo,14,10-19,f
illinois,peoria,Peoria,14,10-19,f
indiana,kokomo,Kokomo,14,10-19,f
indiana,richmond,Richmond,14,10-19,f
kentucky,owensboro,Owensboro,14,10-19,f
minnesota,saint-cloud,Saint Cloud,14,10-19,f
new-jersey,trenton,Trenton,14,10-19,f
ohio,warren,Warren,14,10-19,f
texas,austin,Austin,14,10-19,f
texas,beaumont,Beaumont,14,10-19,t
utah,west-jordan,West Jordan,14,10-19,f
virginia,norfolk,Norfolk,14,10-19,f
washington,longview,Longview,14,10-19,f
wisconsin,green-bay,Green Bay,14,10-19,f
california,oakland,Oakland,13,10-19,f
california,san-juan-capistrano,San Juan Capistrano,13,10-19,f
california,torrance,Torrance,13,10-19,f
florida,lake-worth,Lake Worth,13,10-19,f
georgia,savannah,Savannah,13,10-19,f
idaho,coeur-d-alene,Coeur d Alene,13,10-19,f
indiana,bloomington,Bloomington,13,10-19,f
indiana,jeffersonville,Jeffersonville,13,10-19,f
indiana,merrillville,Merrillville,13,10-19,f
indiana,terre-haute,Terre Haute,13,10-19,f
kentucky,paducah,Paducah,13,10-19,f
maryland,columbia,Columbia,13,10-19,f
maryland,hyattsville,Hyattsville,13,10-19,f
massachusetts,fall-river,Fall River,13,10-19,f
mississippi,jackson,Jackson,13,10-19,f
missouri,columbia,Columbia,13,10-19,f
nebraska,norfolk,Norfolk,13,10-19,f
north-carolina,gastonia,Gastonia,13,10-19,f
north-carolina,lumberton,Lumberton,13,10-19,f
oregon,bend,Bend,13,10-19,f
pennsylvania,bethlehem,Bethlehem,13,10-19,f
pennsylvania,washington,Washington,13,10-19,f
south-dakota,rapid-city,Rapid City,13,10-19,f
tennessee,jackson,Jackson,13,10-19,f
texas,longview,Longview,13,10-19,t
virginia,virginia-beach,Virginia Beach,13,10-19,f
washington,bellingham,Bellingham,13,10-19,f
california,oxnard,Oxnard,12,10-19,t
california,san-pedro,San Pedro,12,10-19,f
california,stockton,Stockton,12,10-19,f
illinois,springfield,Springfield,12,10-19,f
indiana,columbus,Columbus,12,10-19,f
louisiana,monroe,Monroe,12,10-19,f
maryland,salisbury,Salisbury,12,10-19,f
maryland,waldorf,Waldorf,12,10-19,f
massachusetts,brockton,Brockton,12,10-19,f
massachusetts,new-bedford,New Bedford,12,10-19,f
massachusetts,pittsfield,Pittsfield,12,10-19,f
michigan,saginaw,Saginaw,12,10-19,f
montana,billings,Billings,12,10-19,f
montana,missoula,Missoula,12,10-19,f
new-york,poughkeepsie,Poughkeepsie,12,10-19,f
north-carolina,greenville,Greenville,12,10-19,f
ohio,beachwood,Beachwood,12,10-19,f
ohio,chillicothe,Chillicothe,12,10-19,f
ohio,hamilton,Hamilton,12,10-19,f
pennsylvania,greensburg,Greensburg,12,10-19,f
south-carolina,columbia,Columbia,12,10-19,f
texas,corpus-christi,Corpus Christi,12,10-19,f
texas,dallas,Dallas,12,10-19,f
texas,waco,Waco,12,10-19,t
virginia,arlington,Arlington,12,10-19,f
washington,bellevue,Bellevue,12,10-19,f
alabama,huntsville,Huntsville,11,10-19,f
arizona,avondale,Avondale,11,10-19,t
california,huntington-beach,Huntington Beach,11,10-19,f
california,santa-maria,Santa Maria,11,10-19,f
colorado,boulder,Boulder,11,10-19,t
delaware,dover,Dover,11,10-19,f
florida,tallahassee,Tallahassee,11,10-19,f
georgia,decatur,Decatur,11,10-19,f
illinois,aurora,Aurora,11,10-19,f
illinois,elgin,Elgin,11,10-19,f
kentucky,london,London,11,10-19,f
louisiana,lafayette,Lafayette,11,10-19,f
maryland,cumberland,Cumberland,11,10-19,f
massachusetts,lowell,Lowell,11,10-19,f
michigan,kalamazoo,Kalamazoo,11,10-19,f
minnesota,grand-rapids,Grand Rapids,11,10-19,f
minnesota,mankato,Mankato,11,10-19,f
new-hampshire,nashua,Nashua,11,10-19,f
new-jersey,paterson,Paterson,11,10-19,f
new-jersey,toms-river,Toms River,11,10-19,f
ohio,mansfield,Mansfield,11,10-19,f
pennsylvania,butler,Butler,11,10-19,f
pennsylvania,wilkes-barre,Wilkes Barre,11,10-19,f
virginia,roanoke,Roanoke,11,10-19,f
washington,olympia,Olympia,11,10-19,f
washington,vancouver,Vancouver,11,10-19,f
west-virginia,charleston,Charleston,11,10-19,f
alabama,dothan,Dothan,10,10-19,f
california,laguna-beach,Laguna Beach,10,10-19,f
california,modesto,Modesto,10,10-19,f
connecticut,stamford,Stamford,10,10-19,f
florida,ocala,Ocala,10,10-19,f
florida,st-petersburg,St. Petersburg,10,10-19,t
georgia,athens,Athens,10,10-19,f
georgia,marietta,Marietta,10,10-19,f
indiana,anderson,Anderson,10,10-19,f
kansas,overland-park,Overland Park,10,10-19,t
kansas,topeka,Topeka,10,10-19,f
kentucky,morehead,Morehead,10,10-19,f
kentucky,pikeville,Pikeville,10,10-19,f
kentucky,prestonsburg,Prestonsburg,10,10-19,f
maryland,dundalk,Dundalk,10,10-19,f
maryland,silver-spring,Silver Spring,10,10-19,f
michigan,muskegon,Muskegon,10,10-19,f
missouri,joplin,Joplin,10,10-19,f
montana,helena,Helena,10,10-19,f
nevada,carson-city,Carson City,10,10-19,f
new-mexico,las-cruces,Las Cruces,10,10-19,f
new-york,far-rockaway,Far Rockaway,10,10-19,f
north-carolina,goldsboro,Goldsboro,10,10-19,f
north-carolina,high-point,High Point,10,10-19,f
ohio,lima,Lima,10,10-19,f
ohio,newark,Newark,10,10-19,f
ohio,springfield,Springfield,10,10-19,f
pennsylvania,altoona,Altoona,10,10-19,f
tennessee,franklin,Franklin,10,10-19,f
texas,lubbock,Lubbock,10,10-19,f
texas,midland,Midland,10,10-19,t
utah,logan,Logan,10,10-19,f
virginia,lynchburg,Lynchburg,10,10-19,f
west-virginia,huntington,Huntington,10,10-19,f
wisconsin,appleton,Appleton,10,10-19,f
wisconsin,eau-claire,Eau Claire,10,10-19,f
alabama,mobile,Mobile,9,5-9,f
arizona,casa-grande,Casa Grande,9,5-9,f
arizona,sierra-vista,Sierra Vista,9,5-9,f
arkansas,fort-smith,Fort Smith,9,5-9,f
arkansas,russellville,Russellville,9,5-9,f
california,concord,Concord,9,5-9,f
california,eureka,Eureka,9,5-9,f
california,indio,Indio,9,5-9,f
california,lancaster,Lancaster,9,5-9,f
california,santa-barbara,Santa Barbara,9,5-9,f
california,woodland-hills,Woodland Hills,9,5-9,f
colorado,littleton,Littleton,9,5-9,f
connecticut,middletown,Middletown,9,5-9,f
connecticut,torrington,Torrington,9,5-9,f
florida,boca-raton,Boca Raton,9,5-9,t
florida,kissimmee,Kissimmee,9,5-9,f
florida,port-saint-lucie,Port Saint Lucie,9,5-9,f
florida,saint-augustine,Saint Augustine,9,5-9,f
idaho,twin-falls,Twin Falls,9,5-9,f
illinois,waukegan,Waukegan,9,5-9,f
indiana,lawrenceburg,Lawrenceburg,9,5-9,f
indiana,south-bend,South Bend,9,5-9,f
kentucky,covington,Covington,9,5-9,f
kentucky,hazard,Hazard,9,5-9,f
louisiana,metairie,Metairie,9,5-9,f
maryland,elkton,Elkton,9,5-9,f
maryland,towson,Towson,9,5-9,f
maryland,upper-marlboro,Upper Marlboro,9,5-9,f
massachusetts,framingham,Framingham,9,5-9,f
michigan,ann-arbor,Ann Arbor,9,5-9,f
mississippi,hattiesburg,Hattiesburg,9,5-9,t
new-hampshire,concord,Concord,9,5-9,f
new-jersey,east-orange,East Orange,9,5-9,f
new-york,watertown,Watertown,9,5-9,f
new-york,yonkers,Yonkers,9,5-9,f
north-carolina,concord,Concord,9,5-9,f
north-carolina,shelby,Shelby,9,5-9,f
north-dakota,minot,Minot,9,5-9,f
ohio,ironton,Ironton,9,5-9,f
ohio,lancaster,Lancaster,9,5-9,f
ohio,portsmouth,Portsmouth,9,5-9,f
oregon,hillsboro,Hillsboro,9,5-9,f
pennsylvania,scranton,Scranton,9,5-9,f
south-carolina,florence,Florence,9,5-9,f
south-carolina,greenville,Greenville,9,5-9,t
tennessee,kingsport,Kingsport,9,5-9,f
utah,american-fork,American Fork,9,5-9,f
utah,brigham-city,Brigham City,9,5-9,f
utah,sandy,Sandy,9,5-9,f
virginia,alexandria,Alexandria,9,5-9,f
virginia,charlottesville,Charlottesville,9,5-9,f
washington,mount-vernon,Mount Vernon,9,5-9,f
wisconsin,kenosha,Kenosha,9,5-9,f
wisconsin,waukesha,Waukesha,9,5-9,f
alabama,montgomery,Montgomery,8,5-9,f
arizona,show-low,Show Low,8,5-9,f
arkansas,conway,Conway,8,5-9,f
arkansas,jonesboro,Jonesboro,8,5-9,f
arkansas,springdale,Springdale,8,5-9,f
california,chico,Chico,8,5-9,f
california,covina,Covina,8,5-9,f
california,hanford,Hanford,8,5-9,f
california,palm-springs,Palm Springs,8,5-9,f
california,ukiah,Ukiah,8,5-9,f
california,yuba-city,Yuba City,8,5-9,f
colorado,fort-collins,Fort Collins,8,5-9,f
colorado,longmont,Longmont,8,5-9,f
connecticut,danbury,Danbury,8,5-9,f
connecticut,east-hartford,East Hartford,8,5-9,f
florida,hialeah,Hialeah,8,5-9,f
georgia,augusta,Augusta,8,5-9,f
georgia,statesboro,Statesboro,8,5-9,f
idaho,caldwell,Caldwell,8,5-9,f
illinois,arlington-heights,Arlington Heights,8,5-9,f
illinois,quincy,Quincy,8,5-9,f
illinois,saint-charles,Saint Charles,8,5-9,f
indiana,lafayette,Lafayette,8,5-9,f
indiana,valparaiso,Valparaiso,8,5-9,f
indiana,vincennes,Vincennes,8,5-9,f
kansas,olathe,Olathe,8,5-9,f
kentucky,hopkinsville,Hopkinsville,8,5-9,f
louisiana,houma,Houma,8,5-9,f
louisiana,lake-charles,Lake Charles,8,5-9,f
maine,lewiston,Lewiston,8,5-9,f
maryland,annapolis,Annapolis,8,5-9,f
maryland,catonsville,Catonsville,8,5-9,f
maryland,easton,Easton,8,5-9,f
maryland,gaithersburg,Gaithersburg,8,5-9,f
maryland,windsor-mill,Windsor Mill,8,5-9,f
massachusetts,greenfield,Greenfield,8,5-9,f
massachusetts,roxbury,Roxbury,8,5-9,f
minnesota,alexandria,Alexandria,8,5-9,f
minnesota,brainerd,Brainerd,8,5-9,f
minnesota,willmar,Willmar,8,5-9,f
missouri,saint-charles,Saint Charles,8,5-9,f
montana,great-falls,Great Falls,8,5-9,f
montana,kalispell,Kalispell,8,5-9,f
new-mexico,espanola,Espanola,8,5-9,f
new-mexico,santa-fe,Santa Fe,8,5-9,t
new-york,auburn,Auburn,8,5-9,f
new-york,binghamton,Binghamton,8,5-9,f
new-york,niagara-falls,Niagara Falls,8,5-9,f
new-york,schenectady,Schenectady,8,5-9,f
new-york,utica,Utica,8,5-9,f
north-carolina,jacksonville,Jacksonville,8,5-9,f
north-carolina,morganton,Morganton,8,5-9,f
ohio,elyria,Elyria,8,5-9,f
ohio,marietta,Marietta,8,5-9,f
ohio,sandusky,Sandusky,8,5-9,f
ohio,waverly,Waverly,8,5-9,f
oregon,roseburg,Roseburg,8,5-9,f
pennsylvania,allentown,Allentown,8,5-9,f
rhode-island,pawtucket,Pawtucket,8,5-9,f
tennessee,clarksville,Clarksville,8,5-9,f
tennessee,cleveland,Cleveland,8,5-9,f
tennessee,cookeville,Cookeville,8,5-9,f
texas,amarillo,Amarillo,8,5-9,f
texas,laredo,Laredo,8,5-9,f
utah,bountiful,Bountiful,8,5-9,f
utah,draper,Draper,8,5-9,f
vermont,rutland,Rutland,8,5-9,f
virginia,chesapeake,Chesapeake,8,5-9,f
virginia,fredericksburg,Fredericksburg,8,5-9,f
virginia,hampton,Hampton,8,5-9,f
virginia,newport-news,Newport News,8,5-9,f
washington,aberdeen,Aberdeen,8,5-9,f
washington,everett,Everett,8,5-9,f
washington,wenatchee,Wenatchee,8,5-9,f
west-virginia,martinsburg,Martinsburg,8,5-9,f
alabama,jasper,Jasper,7,5-9,f
alaska,fairbanks,Fairbanks,7,5-9,f
alaska,juneau,Juneau,7,5-9,f
arizona,bullhead-city,Bullhead City,7,5-9,f
arizona,kingman,Kingman,7,5-9,f
arizona,mesa,Mesa,7,5-9,f
arizona,scottsdale,Scottsdale,7,5-9,f
arizona,surprise,Surprise,7,5-9,t
arkansas,fayetteville,Fayetteville,7,5-9,f
arkansas,hot-springs-national-park,Hot Springs National Park,7,5-9,f
arkansas,north-little-rock,North Little Rock,7,5-9,f
california,palmdale,Palmdale,7,5-9,f
california,san-rafael,San Rafael,7,5-9,f
california,visalia,Visalia,7,5-9,f
connecticut,new-britain,New Britain,7,5-9,f
connecticut,new-london,New London,7,5-9,f
connecticut,norwalk,Norwalk,7,5-9,f
delaware,newark,Newark,7,5-9,f
florida,pompano-beach,Pompano Beach,7,5-9,f
georgia,columbus,Columbus,7,5-9,f
georgia,valdosta,Valdosta,7,5-9,f
hawaii,kaneohe,Kaneohe,7,5-9,f
illinois,evanston,Evanston,7,5-9,f
illinois,northbrook,Northbrook,7,5-9,f
illinois,wheaton,Wheaton,7,5-9,f
indiana,marion,Marion,7,5-9,f
indiana,muncie,Muncie,7,5-9,f
iowa,davenport,Davenport,7,5-9,f
iowa,fort-dodge,Fort Dodge,7,5-9,f
iowa,iowa-city,Iowa City,7,5-9,f
kansas,kansas-city,Kansas City,7,5-9,f
kentucky,nicholasville,Nicholasville,7,5-9,f
kentucky,somerset,Somerset,7,5-9,f
louisiana,alexandria,Alexandria,7,5-9,f
louisiana,slidell,Slidell,7,5-9,f
maine,waterville,Waterville,7,5-9,f
maryland,bel-air,Bel Air,7,5-9,f
maryland,bethesda,Bethesda,7,5-9,f
maryland,brooklyn,Brooklyn,7,5-9,f
maryland,cambridge,Cambridge,7,5-9,f
maryland,laurel,Laurel,7,5-9,f
massachusetts,holyoke,Holyoke,7,5-9,f
massachusetts,lawrence,Lawrence,7,5-9,f
massachusetts,northampton,Northampton,7,5-9,f
massachusetts,taunton,Taunton,7,5-9,f
michigan,battle-creek,Battle Creek,7,5-9,f
michigan,gaylord,Gaylord,7,5-9,f
michigan,livonia,Livonia,7,5-9,f
michigan,midland,Midland,7,5-9,f
michigan,southfield,Southfield,7,5-9,f
michigan,traverse-city,Traverse City,7,5-9,f
minnesota,cloquet,Cloquet,7,5-9,f
minnesota,moorhead,Moorhead,7,5-9,f
missouri,jefferson-city,Jefferson City,7,5-9,f
nevada,north-las-vegas,North Las Vegas,7,5-9,f
new-jersey,mount-holly,Mount Holly,7,5-9,f
new-jersey,new-brunswick,New Brunswick,7,5-9,f
new-mexico,gallup,Gallup,7,5-9,f
new-york,astoria,Astoria,7,5-9,f
new-york,olean,Olean,7,5-9,f
new-york,white-plains,White Plains,7,5-9,f
north-carolina,hickory,Hickory,7,5-9,f
north-carolina,salisbury,Salisbury,7,5-9,f
north-carolina,statesville,Statesville,7,5-9,f
north-dakota,grand-forks,Grand Forks,7,5-9,f
north-dakota,williston,Williston,7,5-9,f
ohio,ashtabula,Ashtabula,7,5-9,f
ohio,chardon,Chardon,7,5-9,f
ohio,east-liverpool,East Liverpool,7,5-9,f
ohio,marion,Marion,7,5-9,f
ohio,ravenna,Ravenna,7,5-9,f
ohio,wooster,Wooster,7,5-9,f
oregon,medford,Medford,7,5-9,f
pennsylvania,chambersburg,Chambersburg,7,5-9,f
pennsylvania,easton,Easton,7,5-9,f
pennsylvania,johnstown,Johnstown,7,5-9,f
pennsylvania,meadville,Meadville,7,5-9,f
pennsylvania,norristown,Norristown,7,5-9,f
pennsylvania,williamsport,Williamsport,7,5-9,f
tennessee,brentwood,Brentwood,7,5-9,f
tennessee,dyersburg,Dyersburg,7,5-9,f
tennessee,murfreesboro,Murfreesboro,7,5-9,f
utah,south-jordan,South Jordan,7,5-9,f
utah,tooele,Tooele,7,5-9,f
vermont,burlington,Burlington,7,5-9,f
virginia,danville,Danville,7,5-9,f
virginia,williamsburg,Williamsburg,7,5-9,f
washington,auburn,Auburn,7,5-9,f
washington,port-angeles,Port Angeles,7,5-9,f
washington,shelton,Shelton,7,5-9,f
alabama,tuscaloosa,Tuscaloosa,6,5-9,f
arizona,douglas,Douglas,6,5-9,f
arkansas,benton,Benton,6,5-9,f
arkansas,clarksville,Clarksville,6,5-9,f
california,agoura-hills,Agoura Hills,6,5-9,f
california,desert-hot-springs,Desert Hot Springs,6,5-9,f
california,rancho-cucamonga,Rancho Cucamonga,6,5-9,f
california,van-nuys,Van Nuys,6,5-9,f
colorado,wheat-ridge,Wheat Ridge,6,5-9,f
connecticut,norwich,Norwich,6,5-9,f
delaware,georgetown,Georgetown,6,5-9,t
florida,boynton-beach,Boynton Beach,6,5-9,f
florida,homestead,Homestead,6,5-9,f
florida,north-palm-beach,North Palm Beach,6,5-9,f
florida,panama-city,Panama City,6,5-9,f
georgia,cumming,Cumming,6,5-9,f
georgia,lawrenceville,Lawrenceville,6,5-9,f
georgia,macon,Macon,6,5-9,f
georgia,roswell,Roswell,6,5-9,f
hawaii,waianae,Waianae,6,5-9,f
illinois,belleville,Belleville,6,5-9,f
illinois,bloomington,Bloomington,6,5-9,f
illinois,south-holland,South Holland,6,5-9,f
iowa,carroll,Carroll,6,5-9,f
iowa,ottumwa,Ottumwa,6,5-9,f
iowa,waterloo,Waterloo,6,5-9,f
kansas,newton,Newton,6,5-9,f
kansas,salina,Salina,6,5-9,f
kentucky,corbin,Corbin,6,5-9,f
kentucky,frankfort,Frankfort,6,5-9,f
kentucky,louisa,Louisa,6,5-9,f
kentucky,richmond,Richmond,6,5-9,f
maine,ellsworth,Ellsworth,6,5-9,f
maine,presque-isle,Presque Isle,6,5-9,f
maine,south-portland,South Portland,6,5-9,f
maryland,ellicott-city,Ellicott City,6,5-9,f
maryland,nottingham,Nottingham,6,5-9,f
massachusetts,fitchburg,Fitchburg,6,5-9,f
michigan,bay-city,Bay City,6,5-9,f
michigan,clinton-township,Clinton Township,6,5-9,f
michigan,holland,Holland,6,5-9,f
michigan,marquette,Marquette,6,5-9,f
michigan,port-huron,Port Huron,6,5-9,f
michigan,southgate,Southgate,6,5-9,f
minnesota,fergus-falls,Fergus Falls,6,5-9,f
minnesota,hibbing,Hibbing,6,5-9,f
minnesota,hopkins,Hopkins,6,5-9,f
minnesota,shakopee,Shakopee,6,5-9,f
minnesota,stillwater,Stillwater,6,5-9,f
minnesota,virginia,Virginia,6,5-9,f
missouri,cape-girardeau,Cape Girardeau,6,5-9,f
missouri,independence,Independence,6,5-9,f
missouri,saint-joseph,Saint Joseph,6,5-9,f
nebraska,grand-island,Grand Island,6,5-9,f
nebraska,north-platte,North Platte,6,5-9,f
nevada,henderson,Henderson,6,5-9,f
nevada,pahrump,Pahrump,6,5-9,f
new-jersey,absecon,Absecon,6,5-9,f
new-jersey,camden,Camden,6,5-9,f
new-jersey,eatontown,Eatontown,6,5-9,f
new-jersey,elizabeth,Elizabeth,6,5-9,f
new-jersey,hackensack,Hackensack,6,5-9,f
new-jersey,jersey-city,Jersey City,6,5-9,f
new-jersey,matawan,Matawan,6,5-9,f
new-jersey,princeton,Princeton,6,5-9,f
new-jersey,vineland,Vineland,6,5-9,f
new-york,elmira,Elmira,6,5-9,f
new-york,mount-vernon,Mount Vernon,6,5-9,f
new-york,new-rochelle,New Rochelle,6,5-9,f
new-york,richmond-hill,Richmond Hill,6,5-9,f
new-york,smithtown,Smithtown,6,5-9,f
north-carolina,morehead-city,Morehead City,6,5-9,f
north-carolina,smithfield,Smithfield,6,5-9,f
ohio,alliance,Alliance,6,5-9,f
ohio,athens,Athens,6,5-9,f
ohio,dublin,Dublin,6,5-9,f
ohio,fairfield,Fairfield,6,5-9,f
ohio,findlay,Findlay,6,5-9,f
ohio,gallipolis,Gallipolis,6,5-9,f
ohio,kent,Kent,6,5-9,f
