workbook_row,state_abbr,city,strict_25,strict_25_60,broad_25,broad_25_60,otp_25,geocode_status,residential_25,residential_25_60,inpatient_25,inpatient_25_60,detox_25,detox_25_60,php_25,php_25_60,iop_25,iop_25_60,adolescent_25,adolescent_25_60,young_adult_25,young_adult_25_60,women_25,women_25_60,men_25,men_25_60,pregnant_25,pregnant_25_60,veterans_25,veterans_25_60,seniors_25,seniors_25_60,criminal_justice_25,criminal_justice_25_60,eating_disorder_25,eating_disorder_25_60,tbi_25,tbi_25_60,first_episode_psychosis_25,first_episode_psychosis_25_60,alzheimers_25,alzheimers_25_60
151,MT,Billings,10,1,14,2,1,OK,5,0,2,0,1,0,3,0,6,1,4,0,7,0,9,1,7,1,5,0,6,0,7,0,10,1,6,0,3,0,0,0,1,0
152,MT,Missoula,7,3,13,8,1,OK,4,1,1,0,0,0,1,0,2,2,0,1,5,2,5,2,5,2,2,1,4,1,7,2,5,2,1,0,1,1,1,0,0,1
153,MT,Bozeman,2,1,4,4,1,OK,0,0,0,0,1,0,0,1,1,0,0,1,1,0,3,1,3,1,1,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0
154,MT,Great Falls,5,0,8,2,0,OK,3,0,2,0,1,0,2,0,2,0,1,0,3,0,2,0,2,0,2,0,2,0,3,0,2,0,1,0,1,0,0,0,1,0
155,MT,Kalispell,4,3,10,5,1,OK,1,2,0,0,0,0,0,0,3,1,2,0,3,1,3,0,3,0,1,0,1,1,2,1,2,1,0,0,0,1,1,0,0,1
156,NE,Omaha,31,23,55,41,0,OK,16,8,6,3,5,4,5,5,10,13,5,4,17,10,21,11,20,11,13,4,26,6,20,7,19,9,6,4,4,2,6,1,4,2
157,NE,Lincoln,17,39,27,75,0,OK,8,17,2,7,4,6,5,5,8,16,2,8,9,22,8,27,9,26,3,17,3,33,5,27,6,27,2,9,1,6,1,6,1,6
158,NE,Grand Island,7,1,8,4,0,OK,5,0,1,0,2,0,0,0,2,1,0,0,0,1,2,0,3,0,0,0,2,1,1,2,1,2,0,1,1,1,1,0,1,1
159,NV,Las Vegas,59,4,105,6,5,OK,25,1,10,0,21,1,21,0,23,3,10,1,50,2,41,3,39,4,28,2,55,2,50,2,56,4,24,1,17,1,10,1,9,1
160,NV,Henderson,59,3,105,5,5,OK,25,1,10,0,21,1,21,0,23,2,10,0,50,1,41,2,39,3,28,1,55,1,50,1,56,3,24,1,17,1,10,1,9,1
161,NV,Reno,17,9,28,22,2,OK,7,3,3,1,2,1,5,1,9,5,3,4,14,8,13,12,12,12,11,10,13,14,12,10,17,10,4,8,3,4,2,2,0,3
162,NV,Carson City,20,8,33,19,1,OK,7,5,4,1,2,1,3,3,10,4,4,3,12,10,13,14,12,13,12,11,15,14,14,9,17,13,8,4,4,3,2,1,2,2
163,NH,Manchester,36,173,67,299,3,OK,11,79,9,25,10,41,11,69,13,55,4,29,24,116,28,130,27,135,19,94,24,119,28,122,23,119,12,46,4,49,7,27,4,22
164,NH,Nashua,56,178,100,307,4,OK,16,88,11,23,15,42,23,66,20,49,8,26,39,111,43,124,38,134,31,96,42,117,42,121,35,126,19,44,15,43,12,24,8,23
165,NH,Concord,20,91,40,174,2,OK,7,32,3,15,4,26,5,34,7,34,1,14,10,69,17,69,17,67,10,49,16,66,15,70,16,54,6,25,4,20,4,18,3,11
166,NH,Portsmouth,13,156,32,270,2,OK,7,62,4,26,4,41,1,60,3,54,1,22,9,102,12,115,11,118,10,81,8,102,10,110,8,102,4,40,3,32,5,23,3,15
167,NJ,Newark,331,240,654,403,26,OK,75,56,61,33,77,37,113,97,163,138,83,67,336,205,261,171,268,161,146,92,289,169,335,181,321,184,102,69,60,32,77,15,61,23
168,NJ,Jersey City,330,226,660,376,27,OK,75,53,61,30,78,35,108,97,163,126,85,60,339,194,258,168,267,156,143,94,289,163,338,169,327,175,104,68,61,30,76,17,64,20
169,NJ,Toms River,46,476,57,861,0,OK,6,114,2,69,5,104,23,172,31,262,8,109,30,445,29,378,26,377,20,226,27,379,30,457,28,429,8,120,6,78,3,75,2,64
170,NJ,Trenton,107,498,156,849,1,OK,23,115,15,61,15,101,52,191,65,283,23,111,81,426,67,376,66,368,46,230,73,381,87,431,74,417,15,131,13,84,6,68,6,63
171,NJ,Atlantic City,21,163,29,254,0,OK,7,39,1,20,6,27,10,61,13,94,0,31,15,117,13,119,13,118,12,79,13,123,17,137,16,123,2,33,1,25,1,15,0,14
172,NJ,Camden,172,223,263,338,10,OK,44,48,24,22,30,35,71,93,98,137,37,52,124,167,124,149,115,148,76,111,112,162,134,171,118,168,30,39,28,27,13,19,17,14
173,NJ,Princeton,101,551,139,993,0,OK,21,120,11,83,14,114,54,208,74,285,26,125,81,487,70,417,69,410,48,239,74,425,80,494,73,472,18,143,8,96,4,91,4,81
174,NM,Albuquerque,34,6,53,10,4,OK,9,2,5,1,15,3,4,1,15,2,8,2,21,4,23,6,22,5,16,4,20,5,17,4,29,5,10,2,7,2,2,1,1,0
175,NM,Santa Fe,6,33,20,60,1,OK,2,8,1,5,3,13,1,3,2,17,5,15,8,28,12,31,9,31,9,25,6,21,12,27,7,29,4,10,2,7,2,2,0,1
176,NM,Las Cruces,7,14,11,25,1,OK,1,1,2,4,6,2,2,8,2,5,3,3,3,8,3,10,3,10,2,6,5,17,2,13,2,14,1,3,2,4,1,3,1,0
177,NM,Roswell,2,1,2,3,0,OK,1,1,0,1,1,1,0,0,0,1,1,0,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,0,1,0,0,1,1,0
178,NY,New York,314,222,642,365,27,OK,72,51,58,33,79,31,102,95,154,121,80,61,334,184,255,154,262,147,137,91,277,159,333,157,318,163,103,61,59,30,75,18,62,19
179,NY,Buffalo,32,7,92,28,3,OK,21,4,8,3,4,2,1,0,3,1,19,7,33,9,32,13,33,10,13,6,26,10,32,10,37,14,1,4,0,2,1,0,0,2
180,NY,Rochester,24,18,45,53,2,OK,16,9,7,4,5,6,3,0,2,3,4,11,15,23,18,20,14,18,6,9,11,15,15,18,15,21,4,4,2,2,3,2,1,2
181,NY,Syracuse,24,19,39,41,0,OK,11,8,11,4,4,4,2,2,5,5,3,12,13,21,8,17,10,18,4,14,8,19,12,20,12,19,7,8,4,6,3,6,3,4
182,NY,Albany,32,37,45,78,0,OK,18,23,4,9,5,9,2,9,12,11,5,7,14,31,21,28,23,31,8,13,15,23,19,21,25,27,1,9,2,5,2,5,0,5
183,NY,White Plains,228,315,497,546,19,OK,60,77,53,40,51,62,65,119,96,168,63,88,227,305,167,257,173,249,78,156,185,251,214,283,211,284,84,93,43,57,54,45,46,43
184,NY,Hempstead,213,316,524,484,27,OK,56,71,51,42,60,51,49,138,88,177,65,79,261,259,199,211,199,208,98,131,206,220,258,228,249,226,87,82,55,42,67,30,55,28
185,NY,Poughkeepsie,25,217,50,396,1,OK,11,68,1,44,3,34,7,77,8,93,6,56,22,192,19,141,17,145,7,74,16,154,19,164,22,167,10,66,7,32,0,36,6,31
186,NY,Binghamton,5,35,10,57,1,OK,3,11,2,9,0,6,1,13,2,16,1,12,3,21,1,20,1,20,2,14,1,21,2,27,3,24,2,2,1,1,2,5,2,3
187,NY,Utica,8,22,16,34,0,OK,4,7,2,12,0,5,0,3,4,6,5,3,8,10,7,7,7,9,4,4,5,7,5,10,7,8,4,5,4,2,4,1,2,1
188,NC,Charlotte,48,36,78,76,8,OK,19,12,5,5,10,10,19,8,20,17,12,21,25,35,29,37,29,38,15,24,29,37,19,39,29,44,6,3,8,7,3,4,1,1
189,NC,Raleigh,35,45,67,79,3,OK,8,12,4,5,13,11,8,14,12,22,11,14,23,37,32,46,31,44,25,36,25,42,16,35,24,41,5,10,5,5,0,3,2,4
190,NC,Asheville,23,44,33,86,4,OK,7,12,6,7,6,12,11,9,10,20,5,11,16,30,18,32,17,31,13,28,11,37,16,33,15,43,4,7,4,7,4,7,1,2
191,NC,Greensboro,23,55,49,103,3,OK,7,18,4,9,6,15,7,12,12,24,8,20,22,40,23,55,20,51,14,41,19,40,17,37,24,50,4,6,6,11,1,4,0,3
192,NC,Winston-Salem,25,55,53,99,4,OK,7,15,6,12,7,18,7,15,13,22,14,15,23,39,28,47,27,43,16,32,22,43,21,37,29,49,4,4,10,6,2,6,0,1
193,NC,Durham,32,52,59,101,2,OK,10,13,2,9,10,17,9,12,12,20,11,13,20,47,29,47,26,47,24,38,23,43,17,36,24,47,5,9,4,9,0,5,2,2
194,NC,Wilmington,13,9,20,22,2,OK,2,1,3,0,2,2,4,5,7,7,0,3,12,7,11,11,11,11,9,6,12,12,12,6,7,13,4,2,2,2,1,0,0,2
195,NC,Fayetteville,14,63,27,108,3,OK,4,23,2,11,3,15,1,24,8,25,6,28,14,47,19,60,18,58,14,48,16,58,16,41,16,56,4,9,3,7,0,3,3,5
196,NC,Greenville,11,33,20,64,1,OK,4,5,1,4,0,7,5,18,6,12,5,7,8,23,12,34,11,33,10,27,11,33,10,20,13,35,6,15,6,10,0,4,5,6
197,ND,Fargo,20,4,28,14,1,OK,10,3,2,0,4,0,9,1,9,1,2,3,7,5,8,2,7,5,1,0,5,4,4,1,9,2,1,0,1,0,2,0,1,0
198,ND,Bismarck,14,1,17,1,0,OK,8,0,4,0,4,0,6,0,7,1,4,1,7,1,7,1,6,1,6,0,7,1,5,1,10,1,3,0,4,0,0,0,1,0
199,ND,Grand Forks,5,3,10,5,1,OK,4,1,1,1,1,0,0,0,1,1,1,0,4,2,3,0,3,1,2,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0
200,OH,Columbus,58,71,103,121,2,OK,20,24,12,5,21,20,24,34,35,47,15,19,35,34,41,47,40,44,30,41,36,31,43,47,44,64,14,11,16,17,11,3,10,9
201,OH,Cleveland,68,97,115,172,3,OK,17,39,5,9,8,20,40,40,39,57,4,15,27,69,33,50,31,51,25,34,29,52,24,55,45,93,12,24,9,17,2,7,8,11
202,OH,Cincinnati,80,63,135,122,7,OK,25,15,12,8,26,20,35,25,45,40,12,16,49,40,44,40,43,40,35,31,39,40,42,44,54,51,19,11,8,17,8,16,4,12
203,OH,Dayton,38,111,72,196,3,OK,10,36,5,18,19,35,15,47,28,60,10,21,28,75,25,64,24,64,23,49,21,66,34,73,37,76,8,21,12,18,8,13,7,15
204,OH,Akron,60,118,115,215,3,OK,18,43,2,14,9,19,25,53,36,66,8,15,32,77,32,64,31,61,25,43,34,61,26,69,59,101,12,29,11,20,4,6,10,16
205,OH,Toledo,27,92,38,177,2,OK,7,34,7,17,9,27,15,25,13,39,5,29,13,59,14,74,12,77,12,52,17,69,18,70,21,81,4,19,8,17,2,16,4,12
206,OH,Youngstown,31,171,68,294,4,OK,12,63,6,17,6,31,9,61,16,97,3,31,23,112,17,92,16,90,12,72,27,89,26,91,35,119,12,37,6,25,4,8,3,25
207,OH,Canton,42,140,79,264,3,OK,14,46,2,13,7,19,15,60,27,75,6,23,25,91,25,78,24,73,20,54,27,79,21,85,37,124,8,40,5,28,4,9,7,23
208,OK,Oklahoma City,18,10,37,22,3,OK,5,4,6,0,5,1,5,0,11,6,8,5,19,17,16,6,15,7,7,5,15,10,16,17,15,11,3,5,2,3,0,3,2,0
209,OK,Tulsa,15,14,28,28,1,OK,3,1,1,4,6,3,2,0,8,9,2,13,6,17,12,16,7,15,8,13,8,19,7,18,17,16,4,11,2,5,1,3,1,5
210,OK,Norman,15,13,32,30,2,OK,3,7,4,4,4,3,2,4,9,4,7,5,19,17,12,10,11,12,5,6,12,16,16,19,13,13,3,3,2,3,0,0,2,2
211,OK,Lawton,2,4,4,9,0,OK,0,0,2,2,0,2,0,3,0,2,0,1,1,5,0,2,0,2,0,2,2,5,0,5,2,4,2,0,1,0,0,1,0,2
212,OR,Portland,63,22,100,51,8,OK,14,9,9,1,11,2,20,3,43,14,17,11,41,20,54,21,48,19,31,11,36,21,41,24,47,29,13,7,7,3,3,2,1,2
213,OR,Eugene,16,14,33,26,1,OK,7,5,2,0,2,2,5,3,7,10,5,5,14,11,13,15,11,15,8,11,6,6,7,9,12,16,2,2,0,1,1,0,0,0
214,OR,Salem,12,79,30,133,4,OK,4,18,0,10,1,11,4,22,9,52,5,27,12,59,16,71,16,63,11,40,10,44,12,50,17,63,5,17,1,9,1,5,0,2
215,OR,Bend,8,3,18,5,1,OK,2,1,0,0,0,0,3,0,5,2,2,3,9,3,7,2,7,2,6,2,13,3,8,3,13,4,9,4,5,1,0,2,0,2
216,OR,Medford,3,8,9,16,2,OK,2,3,1,0,0,2,1,0,1,4,1,3,2,7,6,7,6,7,6,3,4,7,4,6,6,11,0,5,1,3,2,0,0,1
217,PA,Philadelphia,180,228,274,344,10,OK,44,52,24,23,30,35,77,93,106,134,39,49,131,164,130,149,122,147,81,107,121,158,140,170,129,165,31,39,30,27,13,20,17,14
218,PA,Pittsburgh,65,90,107,151,9,OK,20,35,10,15,16,20,22,15,33,39,15,20,43,61,35,49,35,47,25,38,32,59,41,69,35,76,10,32,4,19,5,15,5,13
219,PA,Allentown,33,335,55,512,2,OK,4,83,5,44,4,53,12,147,16,194,7,80,27,238,18,235,19,224,9,152,17,226,23,243,25,241,5,65,3,48,0,39,0,33
220,PA,Harrisburg,30,104,48,156,2,OK,9,31,5,14,5,24,10,35,15,57,5,23,21,76,21,62,26,65,13,38,23,63,25,70,23,85,3,20,4,20,8,15,4,15
221,PA,Scranton,31,61,43,103,1,OK,10,16,3,12,4,11,15,22,16,29,9,19,18,44,14,42,16,38,9,26,17,38,21,42,24,47,1,12,2,6,8,5,2,3
222,PA,Reading,22,310,36,485,1,OK,6,86,3,42,3,58,9,116,9,165,6,67,13,221,9,218,11,213,7,140,9,209,11,234,16,233,2,51,3,52,5,39,1,34
223,PA,Lancaster,44,354,61,560,2,OK,15,144,4,51,9,91,14,125,20,174,2,79,22,267,24,267,28,273,19,155,20,267,27,277,27,285,2,72,5,67,7,48,4,45
224,PA,Erie,15,24,23,46,3,OK,8,11,1,6,2,8,2,7,7,10,2,12,6,19,7,18,8,17,6,13,6,13,5,18,8,15,0,5,0,4,0,1,0,2
225,PA,York,44,324,63,523,1,OK,15,134,5,40,11,80,16,112,19,162,4,74,29,252,22,261,27,270,16,151,28,246,34,254,28,285,5,66,8,56,7,42,6,38
226,RI,Providence,56,195,101,325,7,OK,26,86,10,25,17,38,15,84,21,63,15,36,45,135,48,140,50,146,31,109,43,132,42,128,48,145,13,48,15,54,6,22,7,26
227,RI,Warwick,56,171,100,279,6,OK,27,73,10,23,17,32,13,76,21,55,14,32,45,110,47,119,52,126,29,93,44,110,42,108,52,125,13,36,14,44,5,17,7,21
228,SC,Charleston,7,4,14,12,1,OK,2,0,1,2,2,0,1,0,5,2,3,3,8,8,4,3,4,3,4,1,4,7,5,8,7,8,0,1,0,0,3,4,1,0
229,SC,Columbia,8,11,19,40,2,OK,3,2,3,6,4,2,1,3,3,5,2,10,12,23,5,10,5,7,5,7,10,25,9,23,12,33,0,5,0,3,2,2,0,0
230,SC,Greenville,10,41,21,77,4,OK,2,17,4,9,4,11,2,18,4,17,2,15,12,38,8,40,8,37,10,28,13,33,13,32,12,43,0,7,0,8,3,8,0,3
231,SC,Myrtle Beach,3,8,8,19,1,OK,0,2,0,2,2,1,1,2,2,4,1,5,5,13,4,6,4,6,3,5,4,13,4,12,5,12,0,0,0,1,2,3,0,1
232,SC,Spartanburg,8,58,18,113,3,OK,3,21,3,12,3,14,1,23,4,22,3,19,12,47,10,43,9,44,7,33,10,44,11,42,11,58,0,10,0,10,2,8,0,3
233,SC,Rock Hill,34,43,55,93,7,OK,13,18,5,7,9,7,11,16,15,18,9,24,19,40,21,41,22,40,12,26,24,41,15,40,24,50,3,5,6,6,2,5,1,1
234,SD,Sioux Falls,12,9,18,15,1,OK,6,5,3,3,2,4,1,1,6,7,2,5,5,7,4,7,3,7,2,5,2,6,3,9,8,8,0,3,1,0,1,0,2,0
235,SD,Rapid City,9,5,13,7,0,OK,6,3,3,1,2,0,0,0,4,1,3,0,3,2,4,3,3,4,3,0,3,3,4,3,6,2,1,0,1,0,0,0,0,0
236,TN,Nashville,46,26,71,50,3,OK,18,8,5,7,12,10,19,7,28,18,8,5,31,17,30,18,30,19,19,12,28,22,30,21,29,23,15,12,7,6,4,2,2,5
237,TN,Memphis,28,12,40,30,1,OK,11,2,6,0,5,0,10,7,16,4,4,4,19,9,18,2,16,2,11,0,16,11,17,9,21,14,6,6,4,5,3,10,4,1
238,TN,Knoxville,30,23,57,49,1,OK,11,2,3,3,6,1,4,5,17,15,4,7,14,16,18,19,18,19,11,12,12,10,17,11,15,18,3,1,3,4,3,7,2,2
239,TN,Chattanooga,23,22,38,36,4,OK,4,3,3,5,9,5,8,2,17,15,7,5,15,11,17,13,16,13,13,11,11,11,15,15,11,15,4,3,1,2,0,1,1,3
240,TN,Johnson City,22,54,39,112,1,OK,4,13,2,7,4,8,1,14,16,29,4,16,11,38,15,43,13,39,15,33,11,35,15,37,23,51,2,8,2,10,0,7,1,2
241,TN,Clarksville,8,62,16,119,0,OK,4,26,3,7,1,19,1,22,3,39,3,12,5,43,5,47,6,49,4,31,5,42,6,45,10,51,2,18,1,9,1,5,1,3
242,TN,Murfreesboro,23,57,35,92,1,OK,5,22,6,8,7,16,11,17,12,40,4,14,12,39,13,40,12,41,10,24,10,40,12,41,12,41,8,19,3,9,3,4,1,5
243,TX,Houston,75,27,117,46,5,OK,20,10,15,6,19,14,28,7,42,11,12,5,40,12,36,14,36,9,21,11,52,13,47,6,43,20,14,5,8,0,9,1,5,1
244,TX,Dallas,63,50,97,75,7,OK,11,12,7,13,19,16,23,14,33,29,10,11,32,31,25,30,25,30,21,20,45,29,37,32,41,38,24,17,8,7,11,13,9,6
245,TX,San Antonio,20,13,36,25,4,OK,10,7,7,1,7,5,9,6,9,9,3,6,14,14,18,10,15,10,13,2,18,20,18,14,16,15,2,4,2,2,0,3,1,0
246,TX,Austin,32,23,44,31,4,OK,9,12,11,6,10,5,14,9,10,13,5,6,17,16,14,14,14,13,12,4,15,23,17,10,15,19,13,0,9,1,6,9,4,0
247,TX,Fort Worth,35,71,54,103,7,OK,10,11,8,7,14,18,14,22,19,41,6,14,18,38,21,31,21,32,13,29,20,47,19,43,22,48,10,27,4,11,4,16,1,10
248,TX,El Paso,13,6,23,10,1,OK,1,1,4,2,3,5,7,2,4,2,2,3,7,3,8,3,8,3,5,2,15,5,12,2,12,2,2,1,4,2,3,1,0,1
249,TX,Lubbock,5,2,10,5,1,OK,0,2,2,1,0,0,2,0,3,1,2,1,3,3,3,1,2,1,3,1,4,4,1,4,3,4,1,1,1,0,1,2,1,1
250,TX,Corpus Christi,7,0,14,2,3,OK,2,0,2,0,0,0,1,0,3,0,4,0,6,1,2,0,2,0,3,0,5,1,4,1,7,1,1,0,0,0,0,0,1,0
251,TX,Amarillo,8,1,8,1,0,OK,3,0,2,0,2,1,2,0,5,1,1,1,4,1,4,1,4,1,4,1,3,1,5,1,3,0,1,0,1,0,1,0,1,0
252,TX,McAllen,1,4,5,7,0,OK,0,1,0,1,1,1,0,1,1,1,3,4,2,5,3,3,3,3,3,3,5,5,3,5,3,4,2,3,0,0,2,4,0,0
253,TX,Waco,4,13,7,14,1,OK,3,6,3,4,2,4,0,3,2,6,0,1,2,4,3,7,2,6,1,6,3,7,2,6,2,9,1,3,0,2,0,2,0,1
254,TX,Tyler,4,6,5,22,0,OK,1,1,1,2,2,4,2,1,3,2,1,3,1,8,2,4,2,4,0,6,4,10,3,9,4,12,0,3,1,1,2,7,1,1
255,TX,Beaumont,13,8,16,13,2,OK,3,2,0,3,1,1,3,2,8,5,6,2,11,7,10,5,9,5,10,1,12,6,7,4,12,3,1,2,1,1,5,1,1,0
256,TX,Midland,6,2,8,8,0,OK,2,1,2,1,4,0,0,0,3,0,2,0,6,6,4,0,4,0,6,0,6,6,6,7,6,7,0,0,0,0,0,6,0,0
257,UT,Salt Lake City,133,86,213,114,4,OK,62,46,14,9,29,20,68,40,70,35,28,21,107,53,82,44,91,50,47,24,94,49,106,44,115,51,37,19,43,12,24,11,7,0
258,UT,Provo,68,124,97,193,1,OK,42,54,7,13,20,27,36,60,29,64,15,26,42,100,36,80,43,85,22,44,37,89,34,101,41,111,14,36,9,41,8,21,0,8
259,UT,Ogden,35,137,54,214,2,OK,17,64,4,14,5,30,17,72,16,71,11,29,26,107,13,88,18,95,9,45,22,96,21,108,23,115,6,40,9,42,8,21,0,8
260,UT,St George,20,8,24,10,2,OK,8,5,3,0,2,0,13,2,7,3,2,0,9,3,7,2,7,2,5,0,10,3,8,1,9,4,2,0,1,0,1,0,0,0
261,UT,Logan,15,32,23,56,0,OK,6,16,1,5,0,5,7,15,6,16,6,8,9,24,7,14,6,19,1,9,8,21,8,22,10,23,7,3,7,8,2,6,1,0
262,VT,Burlington,11,15,21,33,2,OK,6,9,2,2,1,3,2,2,2,1,5,5,9,12,9,12,8,13,6,8,9,11,10,12,10,13,4,1,3,3,3,2,2,1
263,VT,Rutland,5,29,11,64,1,OK,4,15,0,5,1,7,0,8,1,8,2,9,4,30,6,25,6,26,3,17,3,27,4,31,3,29,2,8,1,4,1,7,1,4
264,VA,Virginia Beach,16,14,39,43,4,OK,4,7,5,2,8,4,10,5,12,9,4,11,12,20,14,22,14,16,11,16,16,25,15,18,15,24,2,3,4,6,5,2,2,2
265,VA,Richmond,22,15,41,39,4,OK,7,7,0,5,6,4,6,6,10,9,9,7,18,19,18,20,18,20,13,19,17,22,14,16,23,24,3,2,1,4,6,3,1,2
266,VA,Arlington,144,263,238,439,9,OK,56,120,16,33,30,71,50,101,57,133,39,56,118,213,98,209,94,221,56,123,102,208,106,213,104,228,39,64,22,52,25,29,15,37
267,VA,Roanoke,11,30,17,58,1,OK,5,9,3,7,5,7,6,9,9,14,2,4,6,18,9,24,8,19,7,23,8,25,8,17,7,31,2,3,3,2,1,3,3,1
268,VA,Charlottesville,5,22,10,54,0,OK,1,4,0,4,1,5,3,8,3,13,1,6,3,22,3,21,3,20,4,21,3,21,4,18,3,25,1,2,0,2,1,5,0,0
269,VA,Lynchburg,11,26,18,51,0,OK,3,8,1,7,2,5,5,10,7,16,1,6,9,14,6,25,6,21,6,19,11,21,6,18,13,23,2,4,1,4,0,3,0,5
270,VA,Fredericksburg,6,164,14,282,1,OK,2,63,2,16,2,36,2,59,3,67,0,44,7,132,11,107,11,106,9,72,10,109,8,117,9,116,1,42,1,24,1,30,0,17
271,VA,Harrisonburg,3,12,9,39,2,OK,0,1,1,0,0,1,1,4,1,9,1,8,2,13,4,12,3,12,3,16,3,11,4,11,4,13,0,1,0,4,0,3,0,0
272,WA,Seattle,64,76,119,107,4,OK,16,13,8,10,8,5,13,6,39,61,19,31,49,50,37,44,36,42,12,28,32,39,35,42,35,46,10,10,5,11,4,9,9,5
273,WA,Spokane,24,6,37,18,3,OK,9,1,1,2,2,1,5,1,15,6,4,3,18,9,15,8,15,9,6,7,11,9,15,10,9,9,1,3,4,5,1,4,1,1
274,WA,Tacoma,63,66,100,112,7,OK,12,14,8,7,6,7,3,15,43,49,19,27,46,46,43,29,41,27,20,15,36,31,45,28,44,27,6,13,10,5,6,4,8,7
275,WA,Vancouver,65,20,101,50,8,OK,15,7,8,2,10,2,20,3,43,15,18,11,41,21,55,21,49,19,31,12,35,23,41,25,48,29,13,8,6,5,3,2,1,3
276,WA,Olympia,40,84,59,149,3,OK,5,15,4,8,2,9,2,11,32,61,15,30,25,64,19,51,18,50,13,22,20,51,22,56,22,54,4,12,5,10,5,4,2,16
277,WA,Bellingham,14,17,25,28,1,OK,6,2,2,4,3,1,0,3,7,14,4,6,13,8,8,11,7,9,8,7,10,8,12,6,9,9,2,3,2,2,5,3,1,0
278,WA,Kennewick,4,11,13,20,1,OK,0,3,0,0,0,1,0,0,4,8,3,8,5,11,3,7,3,8,2,5,5,7,5,10,8,12,0,1,0,0,1,2,0,0
279,WA,Yakima,11,9,18,18,0,OK,3,2,3,0,1,0,0,0,6,8,5,5,5,7,5,5,6,5,3,1,2,4,6,7,5,9,1,3,1,1,3,0,1,2
280,WV,Charleston,12,49,22,93,0,OK,6,20,2,5,6,17,1,13,1,24,1,13,10,39,13,42,11,42,9,31,10,33,10,31,12,42,7,17,2,6,3,15,2,4
281,WV,Huntington,29,74,48,122,2,OK,13,35,2,8,8,13,9,27,17,31,6,19,21,48,25,59,23,54,18,44,20,49,16,59,26,73,7,26,5,15,10,16,2,6
282,WV,Morgantown,17,82,26,139,0,OK,9,29,3,16,7,22,2,23,5,36,5,17,11,49,11,40,10,37,5,34,9,39,9,46,13,48,6,15,5,7,2,11,1,5
283,WV,Parkersburg,12,23,22,50,0,OK,4,6,2,1,2,3,2,5,6,16,2,9,10,23,9,23,9,25,5,21,9,17,14,21,14,27,6,8,2,3,3,6,1,2
284,WV,Wheeling,24,97,37,170,2,OK,8,34,4,16,5,26,5,21,11,46,7,23,14,65,13,59,11,58,8,46,10,56,13,68,19,59,5,31,2,17,4,9,1,15
285,WI,Milwaukee,32,44,82,86,2,OK,13,15,5,7,11,14,15,11,18,22,10,9,28,25,22,25,21,26,14,8,24,18,29,22,27,22,21,11,9,1,6,4,6,2
286,WI,Madison,18,22,39,64,1,OK,3,7,8,2,4,3,5,4,6,12,1,11,9,16,9,16,8,15,7,8,16,22,16,16,15,21,6,15,3,4,4,3,3,4
287,WI,Green Bay,7,16,18,52,0,OK,0,7,3,3,2,4,2,6,2,6,3,2,10,12,3,8,3,8,4,8,5,11,9,18,6,12,4,9,2,2,6,3,2,2
288,WI,Appleton,12,11,32,35,2,OK,4,5,2,5,1,5,4,4,4,3,4,2,15,6,6,6,6,6,6,6,9,8,16,12,8,10,9,3,2,2,4,4,3,0
289,WI,Kenosha,28,254,46,471,1,OK,6,66,4,31,10,43,7,88,18,161,8,67,18,184,21,147,20,155,6,86,12,137,17,164,17,160,6,70,0,23,3,31,2,17
290,WI,Eau Claire,4,12,19,40,0,OK,3,3,0,1,0,0,1,4,0,4,1,3,6,6,3,9,2,10,2,1,3,5,4,8,4,11,1,4,1,2,1,3,0,1
291,WY,Cheyenne,3,14,5,18,0,OK,2,4,1,0,2,1,0,5,2,9,1,2,2,6,3,10,2,9,3,4,2,6,3,3,4,10,2,4,1,2,1,0,0,0
292,WY,Casper,3,1,5,1,0,OK,3,0,1,0,2,0,1,0,2,1,0,0,2,0,4,0,4,0,3,0,3,0,2,0,4,1,1,0,1,0,0,0,0,0
293,WY,Jackson,1,11,2,23,0,OK,0,2,0,0,0,1,0,2,1,9,1,5,2,14,2,6,2,6,0,2,1,6,2,11,2,10,1,5,0,6,0,3,0,4
294,WY,Gillette,2,1,2,1,0,OK,0,0,1,0,0,0,0,0,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,0,2,1,1,1,0,0,0,0,0,0
