workbook_row,state_abbr,city,strict_25,strict_25_60,broad_25,broad_25_60,otp_25,geocode_status,residential_25,residential_25_60,inpatient_25,inpatient_25_60,detox_25,detox_25_60,php_25,php_25_60,iop_25,iop_25_60,adolescent_25,adolescent_25_60,young_adult_25,young_adult_25_60,women_25,women_25_60,men_25,men_25_60,pregnant_25,pregnant_25_60,veterans_25,veterans_25_60,seniors_25,seniors_25_60,criminal_justice_25,criminal_justice_25_60,eating_disorder_25,eating_disorder_25_60,tbi_25,tbi_25_60,first_episode_psychosis_25,first_episode_psychosis_25_60,alzheimers_25,alzheimers_25_60
57,FL,Boca Raton,92,93,138,144,4,OK,39,39,16,19,29,36,46,39,41,29,8,25,44,61,57,57,55,60,31,38,66,73,61,68,60,62,21,24,16,16,7,11,13,15
58,FL,West Palm Beach,72,85,94,142,1,OK,39,38,14,17,31,33,37,34,28,29,5,12,32,50,46,50,50,47,29,25,57,65,45,62,43,56,16,18,12,12,8,9,9,11
59,FL,Fort Lauderdale,98,85,149,126,4,OK,41,37,15,17,30,32,47,36,40,30,17,17,56,47,61,53,58,58,35,34,69,68,71,55,66,56,19,26,17,16,7,11,11,15
60,FL,Tampa,50,22,91,53,3,OK,17,11,13,5,16,4,22,3,25,8,13,8,50,26,36,16,35,16,14,16,54,18,49,22,47,16,23,6,23,7,8,3,12,5
61,FL,Orlando,39,42,73,88,0,OK,24,20,10,12,15,13,9,11,15,15,10,19,33,40,20,30,23,31,13,22,43,33,35,36,37,36,20,15,15,13,2,4,11,11
62,FL,Jacksonville,19,13,42,23,1,OK,7,8,6,3,7,4,6,6,11,4,8,4,12,9,13,8,12,9,5,9,19,13,15,10,16,13,3,1,3,3,3,1,3,1
63,FL,Fort Myers,17,8,30,15,1,OK,9,2,6,2,7,2,9,3,7,5,4,4,13,8,9,7,10,7,5,4,12,9,12,8,16,7,8,1,8,3,2,2,2,0
64,FL,Sarasota,11,56,21,104,3,OK,4,20,2,17,2,16,3,22,5,26,1,17,10,55,6,41,6,41,5,21,6,56,10,55,4,52,2,23,3,23,0,9,2,12
65,FL,Tallahassee,11,9,18,14,0,OK,5,3,2,2,2,2,1,3,3,5,2,4,7,7,5,8,3,7,5,6,7,8,5,7,10,9,1,0,1,1,1,0,1,0
66,FL,Pensacola,8,12,14,18,1,OK,4,2,2,3,2,3,4,4,5,5,2,3,6,8,5,5,5,6,3,5,8,7,7,6,3,4,2,1,1,1,1,1,2,0
67,FL,Ocala,11,42,21,80,0,OK,7,22,4,16,6,14,5,8,2,13,2,16,11,31,11,29,11,27,7,21,14,36,12,30,12,42,4,12,4,9,2,2,3,7
68,FL,Daytona Beach,17,53,38,93,2,OK,5,32,5,13,4,20,5,14,8,17,8,13,13,43,15,25,15,28,9,21,13,51,17,43,10,44,7,22,7,17,1,4,6,13
69,GA,Atlanta,79,44,117,78,7,OK,25,21,8,7,15,24,46,14,40,14,17,12,58,28,47,31,52,34,29,27,62,29,60,21,54,39,18,3,12,3,9,8,9,5
70,GA,Savannah,11,10,18,24,2,OK,4,2,4,3,5,4,6,1,6,6,2,11,7,18,8,15,8,12,6,14,8,16,9,16,9,17,1,1,0,4,1,3,0,0
71,GA,Augusta,5,10,12,23,1,OK,4,2,3,1,3,1,1,2,2,7,0,6,4,17,3,8,3,7,1,5,5,10,2,10,1,20,0,1,4,2,1,3,0,0
72,GA,Columbus,4,9,11,17,1,OK,1,3,2,3,3,0,1,3,0,3,2,2,3,5,3,3,2,5,2,3,5,6,3,5,2,4,0,1,1,3,0,1,0,3
73,GA,Macon,5,14,10,33,2,OK,0,9,2,3,2,4,0,4,0,3,1,5,4,11,3,15,2,18,2,11,3,13,3,13,2,14,0,3,0,3,3,2,1,4
74,GA,Athens,15,72,20,122,2,OK,11,30,1,8,10,20,10,38,9,31,2,18,8,62,12,53,14,53,9,37,9,65,3,56,13,66,0,14,1,10,5,10,0,9
